Country,Economic status,Coastal population,Waste generation rate (kg/person/day),% Plastic in waste stream,% Inadequately managed waste,% Littered waste,Waste generation (kg/day),Plastic waste generation (kg/day),Inadequately managed plastic waste (kg/day),"Plastic waste littered
 (kg/day)",Mismanaged plastic waste (kg/person/day),"Mismanaged plastic waste in 2010 in tonnes
 (tonnes)",Mismanaged plastic waste in 2015 in tonnes,Region,Plastic waste generation per person(kg/day/person),"GDP per capita",
Philippines,LMI,83446862,0.5,14.95,80.7347824,2,41723431,6237652.935,5035955.524,124753.0587,0.06184425,1883658.633,5088394.475,Asia,0.07475,5918.373229,
Poland,UMI,3272933,0.88,10.95,11.6415915,2,2880181.04,315379.8239,36715.23077,6307.596478,0.013145038,15703.33195,26855.40322,Europe,0.09636,23996.13978,
Portugal,HIC,8507951,2.21,11.95,0.000000293,2,18802571.71,2246907.319,0.006583438,44938.14639,0.005281901,16402.42583,19381.61053,Europe,0.264095,31798.15381,
Puerto Rico,HIC,4249848,2.1,11.95,2.243121,2,8924680.8,1066499.356,23922.87101,21329.98711,0.010648112,16517.29321,20481.38523,North America,0.25095,32960.69111,
Qatar,HIC,653007,1.33,11.95,0.000189,2,868499.31,103785.6675,0.196154912,2075.713351,0.003179,757.7069696,1560.171759,Asia,0.158935,95908.31282,
Reunion,UMI,809426,1.2,11.95,0.00000944,2,971311.2,116071.6884,0.010957167,2321.433768,0.002868014,847.3273247,1614.800321,Africa,0.1434,,
Romania,UMI,875170,1.04,3.95,25.5127329,2,910176.8,35951.9836,9172.333548,719.039672,0.011302231,3610.351225,8261.076721,Europe,0.04108,20303.1628,
Russia,UMI,10812537,0.93,11.95,16.4129,2,10055659.41,1201651.299,197225.8261,24033.02599,0.020463176,80759.48103,128946.3425,Europe,0.111135,23961.22029,
Saint Helena,UMI,6839,1.2,11.95,24.9009688,2,8206.8,980.7126,244.2069385,19.614252,0.038575989,96.29473455,181.5054131,Africa,0.1434,,
Saint Kitts and Nevis,UMI,36102,5.45,11.95,6.3308975,2,196755.9,23512.33005,1488.541515,470.246601,0.054257053,714.9576625,741.8090355,North America,0.651275,23710.3475,
Saint Lucia,UMI,163227,4.35,11.95,19.6622712,2,710037.45,84849.47528,16683.33394,1696.989506,0.112605901,6708.818058,8610.064892,North America,0.519825,14109.41343,
"Saint Maarten, DWI",HIC,37429,2.1,11.95,0.0321997,2,78600.9,9392.80755,3.024455853,187.856151,0.005099805,69.6714215,98.49245809,North America,0.25095,,
Saint Pierre,HIC,5888,2.1,11.95,0.0321997,2,12364.8,1477.5936,0.475780706,29.551872,0.005099805,10.96009324,15.49396439,North America,0.25095,,
Saint Vincent and the Grenadines,UMI,120149,1.7,12.95,21.2494196,2,204253.3,26450.80235,5620.641979,529.016047,0.051183597,2244.625179,2995.752495,North America,0.22015,11447.46662,
Samoa,LMI,168025,0.79,12.95,79.6294546,2,132739.75,17189.79763,13688.1421,343.7959525,0.083511014,5121.657388,10988.91991,Oceania,0.102305,6006.383728,
Sao Tome and Principe8,LMI,163740,0.79,12.95,81.1084164,2,129354.6,16751.4207,13586.81205,335.028414,0.085024065,5081.471771,13309.42978,Africa,0.102305,3357.470193,
Saudi Arabia,HIC,3593471,1.3,11.95,8.0863811,2,4671512.3,558245.7199,45141.87638,11164.9144,0.015669193,20551.97863,43855.30965,Asia,0.15535,44036.76735,
Senegal,LMI,8125063,0.79,12.95,81.9715165,2,6418799.77,831234.5702,681375.5829,16624.6914,0.08590706,254770.1001,738264.1612,Africa,0.102305,2797.11016,
Seychelles,UMI,91361,2.98,11.95,36.8984876,2,272255.78,32534.56571,12004.76269,650.6913142,0.138521404,4619.240713,5478.260046,Africa,0.35611,20892.69175,
Sierra Leone,LI,2887017,0.45,8.95,83.7868461,2,1299157.65,116274.6097,97422.82826,2325.492194,0.034550652,36408.13697,121312.2668,Africa,0.040275,1413.563736,
Singapore,HIC,4492494,1.49,12.95,0.0453822,2,6693816.06,866849.1798,393.3952285,17336.9836,0.003946667,6471.588271,10877.61823,Asia,0.192955,78294.03142,
Slovenia,HIC,336594,1.21,11.95,1.1301308,2,407278.74,48669.80943,550.0325067,973.3961886,0.004526013,556.0514738,984.8110384,Europe,0.144595,33355.84763,
Solomon Islands,LMI,618678,0.79,12.95,86.2775031,2,488755.62,63293.85279,54608.3558,1265.877056,0.0903123,20394.09499,176588.5694,Oceania,0.102305,2439.862325,
Somalia,LI,5971169,0.6,8.95,84.7501682,2,3582701.4,320651.7753,271752.9189,6413.035506,0.04658484,101530.5734,289600.6674,Africa,0.0537,,
South Africa,UMI,12899201,2,11.95,53.9873732,2,25798402,3082909.039,1664381.608,61658.18078,0.133809822,630004.523,836279.137,Africa,0.239,12452.33753,
